Model              BSRN            FDIWN           HNCT            LAPAR           SwinIR          CTHN            EDSR            
                   PSRN    SSIM    PSRN    SSIM    PSRN    SSIM    PSRN    SSIM    PSRN    SSIM    PSRN    SSIM    PSRN    SSIM    
agricultural       27.2571 0.5029  27.1052 0.5047  26.7129 0.481   27.2541 0.5084  27.3172 0.5093  27.3243 0.5087  24.0397 0.3742  
golfcourse         33.8081 0.8344  33.7848 0.834   32.1438 0.8024  33.7253 0.8328  33.6845 0.8318  33.6184 0.8304  27.0067 0.6374  
harbor             25.1135 0.8386  24.8843 0.8339  22.1775 0.7222  24.7485 0.8306  24.661  0.8268  24.4179 0.8184  19.9222 0.5558  
intersection       28.4635 0.8117  28.3501 0.8089  26.168  0.7299  28.2698 0.8072  28.1437 0.8026  27.969  0.7962  23.303  0.5651  
mediumresidential  27.2134 0.7678  27.1161 0.766   24.8969 0.6694  27.0503 0.7628  26.9438 0.7593  26.747  0.7524  22.4831 0.5159  
mobilehomepark     26.2099 0.7939  26.0704 0.7899  23.1016 0.6628  25.9048 0.7849  25.7174 0.7787  25.4708 0.7686  20.7652 0.5122  
overpass           27.9996 0.7778  27.8686 0.7741  25.1137 0.6733  27.8645 0.7734  27.6628 0.7672  27.366  0.7578  22.8678 0.5228  
parkinglot         23.3536 0.777   23.2177 0.7737  21.6329 0.6752  23.1268 0.7708  23.0164 0.7658  22.9043 0.7592  19.5851 0.5013  
river              28.6982 0.7259  28.6572 0.7255  27.8935 0.6844  28.646  0.7237  28.6184 0.7222  28.5731 0.7199  24.88   0.5368  
runway             32.1789 0.8381  32.013  0.838   28.2083 0.7612  31.9105 0.8348  31.7439 0.8317  31.552  0.8281  24.7486 0.5973  
sparseresidential  29.4707 0.7477  29.421  0.747   27.6265 0.6899  29.3779 0.7456  29.3011 0.7435  29.1674 0.7401  24.3665 0.5338  
airplane           30.229  0.8423  30.0766 0.8403  26.7348 0.7647  30.0181 0.8389  29.8267 0.8355  29.5526 0.8307  23.6069 0.5941  
storagetanks       29.6869 0.8324  29.5446 0.8289  26.7567 0.7398  29.471  0.8275  29.3146 0.8228  29.1118 0.816   23.5947 0.5779  
tenniscourt        30.1194 0.8168  30.0505 0.8167  27.7367 0.7341  29.9629 0.8128  29.7963 0.8066  29.5788 0.7981  24.4914 0.5768  
baseballdiamond    33.8484 0.8467  33.8036 0.8466  31.8373 0.8093  33.7527 0.8455  33.6718 0.8441  33.5461 0.842   26.8892 0.6471  
beach              36.1114 0.8886  36.0547 0.8878  34.4732 0.8614  36.0034 0.8859  35.9435 0.8845  35.8475 0.8828  27.8996 0.6748  
buildings          28.0258 0.8398  27.82   0.8349  24.4634 0.7197  27.7141 0.8333  27.5457 0.8286  27.2672 0.8205  21.8954 0.558   
chaparral          27.108  0.7451  27.0742 0.7419  25.5839 0.6539  26.9224 0.7326  26.8237 0.7275  26.6072 0.718   22.7712 0.4765  
denseresidential   28.0354 0.8357  27.8289 0.832   24.7276 0.7119  27.7315 0.8288  27.6093 0.8251  27.3532 0.8167  22.0964 0.5508  
forest             28.3589 0.6763  28.2814 0.6738  27.7129 0.6295  28.2818 0.6714  28.2474 0.6691  28.2095 0.6669  24.8025 0.4752  
freeway            30.1925 0.8104  30.0731 0.8081  27.3642 0.7249  30.017  0.8071  29.8507 0.8024  29.6097 0.7949  24.2856 0.5626  
